LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760380202.677591,217551.000,34130,3,PI,1,100,168208
1760380202.717591,217591.000,34147,2,PI,1,100,168209
1760380202.757591,217631.000,34147,2,PI,1,100,168215
1760380202.797592,217671.000,34164,3,PI,1,100,168218
1760380202.837592,217711.000,34164,3,PI,1,100,168225
1760380202.877593,217751.000,34164,3,PI,1,100,168237
1760380202.917927,217791.333,34181,3,PI,1,100,168224
1760380202.958260,217831.667,34181,3,PI,1,100,168231
1760380202.998594,217872.000,34181,3,PI,1,100,168206
1760380203.038594,217912.000,34195,2,PI,1,100,168199
1760380203.078595,217952.000,34195,2,PI,1,100,168189
1760380203.118262,217991.667,34213,3,PI,1,100,168202
1760380203.157929,218031.333,34213,3,PI,1,100,168188
1760380203.197596,218071.000,34213,3,PI,1,100,168178
1760380203.237597,218111.000,34229,2,PI,1,100,168182
1760380203.277597,218151.000,34229,2,PI,1,100,168207
1760380203.317598,218191.000,34248,3,PI,1,100,168188
1760380203.357598,218231.000,34248,3,PI,1,100,168194
1760380203.397599,218271.000,34248,3,PI,1,100,168193
1760380203.437599,218311.000,34266,2,PI,1,100,168199
1760380203.477599,218351.000,34266,2,PI,1,100,168196
1760380203.517600,218391.000,34282,3,PI,1,100,168193
1760380203.557600,218431.000,34282,3,PI,1,100,168197
1760380203.597601,218471.000,34282,3,PI,1,100,168212
1760380203.637601,218511.000,34298,2,PI,1,100,168194
1760380203.677602,218551.000,34298,2,PI,1,100,168213
1760380203.717602,218591.000,34315,3,PI,1,100,168215
1760380203.757602,218631.000,34315,3,PI,1,100,168223
1760380203.797603,218671.000,34315,3,PI,1,100,168235
1760380203.837603,218711.000,34331,2,PI,1,100,168216
1760380203.877604,218751.000,34331,2,PI,1,100,168175
1760380203.917604,218791.000,34349,3,PI,1,100,168179
1760380203.957605,218831.000,34349,3,PI,1,100,168182
1760380203.997605,218871.000,34349,3,PI,1,100,168170
1760380204.038106,218911.500,34365,2,PI,1,100,168171
1760380204.078606,218952.000,34365,2,PI,1,100,168173
1760380204.118273,218991.667,34383,3,PI,1,100,168175
1760380204.157940,219031.333,34383,3,PI,1,100,168160
1760380204.197607,219071.000,34383,3,PI,1,100,168155
1760380204.237608,219111.000,34399,2,PI,1,100,168143
1760380204.277608,219151.000,34399,2,PI,1,100,168139
1760380204.317609,219191.000,34414,3,PI,1,100,168149
1760380204.357609,219231.000,34414,3,PI,1,100,168162
1760380204.397610,219271.000,34414,3,PI,1,100,168151
1760380204.437610,219311.000,34433,3,PI,1,100,168165
1760380204.477611,219351.000,34433,3,PI,1,100,168177
1760380204.517611,219391.000,34433,3,PI,1,100,168181
1760380204.557611,219431.000,34450,2,PI,1,100,168171
1760380204.597612,219471.000,34450,2,PI,1,100,168197
1760380204.637612,219511.000,34466,3,PI,1,100,168216
1760380204.677613,219551.000,34466,3,PI,1,100,168182
1760380204.717613,219591.000,34466,3,PI,1,100,168165
1760380204.757614,219631.000,34482,2,PI,1,100,168144
1760380204.797614,219671.000,34482,2,PI,1,100,168148
1760380204.837615,219711.000,34500,3,PI,1,100,168145
1760380204.877615,219751.000,34500,3,PI,1,100,168136
1760380204.917615,219791.000,34500,3,PI,1,100,168137
1760380204.957616,219831.000,34517,2,PI,1,100,168133
1760380204.997616,219871.000,34517,2,PI,1,100,168133
1760380205.044617,219918.000,34533,2,PI,1,100,168121
1760380205.091617,219965.000,34533,2,PI,1,100,168104
1760380205.131618,220005.000,34549,3,PI,1,100,168105
1760380205.171618,220045.000,34549,3,PI,1,100,168125
1760380205.211619,220085.000,34549,3,PI,1,100,168139
1760380205.251619,220125.000,34567,2,PI,1,100,168133
1760380205.291620,220165.000,34567,2,PI,1,100,168130
1760380205.331620,220205.000,34584,3,PI,1,100,168127
1760380205.371620,220245.000,34584,3,PI,1,100,168123
1760380205.411621,220285.000,34584,3,PI,1,100,168126
1760380205.451621,220325.000,34603,3,PI,1,100,168129
1760380205.491622,220365.000,34603,3,PI,1,100,168127
1760380205.531622,220405.000,34603,3,PI,1,100,168111
1760380205.571623,220445.000,34618,2,PI,1,100,168105
1760380205.611623,220485.000,34618,2,PI,1,100,168097
1760380205.651623,220525.000,34634,3,PI,1,100,168080
1760380205.691624,220565.000,34634,3,PI,1,100,168077
1760380205.731624,220605.000,34634,3,PI,1,100,168045
1760380205.771625,220645.000,34652,2,PI,1,100,168055
