LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1760381809.680441,1114568.000,51893,2,MX,1,100,-55
1760381809.720442,1114608.000,51908,3,MX,1,100,-57
1760381809.760442,1114648.000,51908,3,MX,1,100,-59
1760381809.800442,1114688.000,51908,3,MX,1,100,-58
1760381809.840443,1114728.000,51924,2,MX,1,100,-58
1760381809.880444,1114768.000,51924,2,MX,1,100,-58
1760381809.920444,1114808.000,51941,3,MX,1,100,-59
1760381809.960444,1114848.000,51941,3,MX,1,100,-58
1760381810.000445,1114888.000,51941,3,MX,1,100,-58
1760381810.040446,1114928.000,51960,2,MX,1,100,-59
1760381810.080446,1114968.000,51960,2,MX,1,100,-58
1760381810.115780,1115003.333,51975,3,MX,1,100,-56
1760381810.151114,1115038.667,51975,3,MX,1,100,-54
1760381810.186447,1115074.000,51975,3,MX,1,100,-52
1760381810.226448,1115114.000,51993,3,MX,1,100,-52
1760381810.266448,1115154.000,51993,3,MX,1,100,-52
1760381810.306449,1115194.000,51993,3,MX,1,100,-52
1760381810.346449,1115234.000,52011,2,MX,1,100,-53
1760381810.386450,1115274.000,52011,2,MX,1,100,-54
1760381810.426450,1115314.000,52029,3,MX,1,100,-54
1760381810.466451,1115354.000,52029,3,MX,1,100,-57
1760381810.506451,1115394.000,52029,3,MX,1,100,-57
1760381810.546452,1115434.000,52044,2,MX,1,100,-59
1760381810.586452,1115474.000,52044,2,MX,1,100,-59
1760381810.626453,1115514.000,52061,3,MX,1,100,-59
1760381810.666453,1115554.000,52061,3,MX,1,100,-59
1760381810.706454,1115594.000,52061,3,MX,1,100,-58
1760381810.746454,1115634.000,52078,3,MX,1,100,-59
1760381810.786455,1115674.000,52078,3,MX,1,100,-59
1760381810.826456,1115714.000,52078,3,MX,1,100,-60
1760381810.866456,1115754.000,52096,2,MX,1,100,-56
1760381810.906456,1115794.000,52096,2,MX,1,100,-56
1760381810.946457,1115834.000,52111,3,MX,1,100,-53
1760381810.986458,1115874.000,52111,3,MX,1,100,-53
1760381811.026458,1115914.000,52111,3,MX,1,100,-55
1760381811.066458,1115954.000,52130,2,MX,1,100,-52
1760381811.106459,1115994.000,52130,2,MX,1,100,-52
1760381811.146460,1116034.000,52147,3,MX,1,100,-52
1760381811.186460,1116074.000,52147,3,MX,1,100,-54
1760381811.226460,1116114.000,52147,3,MX,1,100,-55
1760381811.266461,1116154.000,52165,2,MX,1,100,-57
1760381811.306462,1116194.000,52165,2,MX,1,100,-58
1760381811.346129,1116233.667,52184,3,MX,1,100,-59
1760381811.385796,1116273.333,52184,3,MX,1,100,-60
1760381811.425463,1116313.000,52184,3,MX,1,100,-59
